Название карты,Основная ставка кэшбэка,Лимит кэшбэка в месяц(рублей),Округление кэшбэка,Исключения,Категории кэшбэка,Плата за выпуск (рублей),Плата за обслуживание в месяц (рублей),Минимальная покупка для кэшбэка (рублей),Пенсионная?,Минимальный оборот в месяц для бесплатности (рублей),Особенности,Тип карты,Вид кэшбэка
Ак Барс - Generation,"1,00%",4000,До сотых,"4812, 4813, 4814, 4816, 4829, 4900, 6012, 6050, 6051, 6211, 6529, 6530, 6531, 6532, 6533, 6534, 6536, 6537, 6538, 6540, 7299, 7311, 7372, 7399, 7995, 8999, 9399","5% - 5970, 5971, 5972, 7829, 7832, 7841, 7911, 7922, 7929, 7932, 7933, 7941, 7991, 7993, 7994, 7996, 7998
10% - 4111, 4121, 4131, 4784, 5531, 5541, 5542, 5983, 7523, 7549",0,149,1,Нет,,"* Банк может не выплатить кэшбэк в случае, если траты в повышенных категориях превышают суммы операции в других категориях в 2 раза
* Максимальный кэшбэк в категории 10% - 1000 р/мес",Дебетовая,Рубли
АльфаБанк - Яндекс Плюс,"1,00%",7000,До сотых,"4812, 4814, 4816, 4829, 5999, 6010, 6011, 6050, 6051, 6211, 6529, 6530, 6532, 6534, 6536, 6537, 6538, 6540, 7273, 7299, 7311, 7511, 7995, 8999","5% - 5655, 5811, 5812, 5813, 5814, 5940, 5941, 7829, 7832, 7833, 7841, 7911, 7922, 7929, 7932, 7941, 7991, 7992, 7993, 7993, 7994, 7996, 7997, 7998, 7999, 8211, 8220, 8241, 8244, 8249, 8299",0,0,1,Нет,,,Дебетовая,Рубли
Кредит Европа - Card Plus,"1,00%",4000,До сотых,"0049, 0602, 1111, 1234, 3069, 3816, 3828, 3830, 3831, 4642, 4729, 4812, 4814, 4815, 4821, 4829, 5242, 5390, 5530, 5610, 5630, 5815, 5816, 5817, 5819, 5933, 5959, 5961, 6012, 6050, 6051, 6211, 6300, 6521, 6530, 6538, 6539, 6540, 7001, 7276, 7277, 7321, 7995, 8012, 8111, 8931, 8999, 9223, 9753, 9999
","5% - 5169, 5172, 5541, 5542, 5812, 5813, 5814, 5983, 7511, 9752",0,0,1,Нет,,* Не учитываются покупки в интернете,Дебетовая,Рубли
Кредит Европа - Credit Card Plus,"1,00%",5000,До сотых,"0049, 0602, 1111, 1234, 3069, 3816, 3828, 3830, 3831, 4642, 4729, 4812, 4814, 4815, 4821, 4829, 5242, 5390, 5530, 5610, 5630, 5815, 5816, 5817, 5819, 5933, 5959, 5961, 6012, 6050, 6051, 6211, 6300, 6521, 6530, 6538, 6539, 6540, 7001, 7276, 7277, 7321, 7995, 8012, 8111, 8931, 8999, 9223, 9753, 9999
","5% - 5137, 5462, 5611, 5621, 5631, 5641, 5651, 5655, 5661, 5681, 5691, 5697, 5699, 5811, 5812, 5813, 5814, 5931, 5941, 5977, 7296, 7297, 7298, 7230, 7832, 7922, 7932, 7933, 7941, 7991, 7992, 7994, 7996, 7997, 7998, 7999",0,0,1,Нет,,,Кредитная,Рубли
Кредит Европа - Urban Card,"1,00%",5000,До сотых,"0049, 0602, 1111, 1234, 3069, 3816, 3828, 3830, 3831, 4642, 4729, 4812, 4814, 4815, 4821, 4829, 5242, 5390, 5530, 5610, 5630, 5815, 5816, 5817, 5819, 5933, 5959, 5961, 6012, 6050, 6051, 6211, 6300, 6521, 6530, 6538, 6539, 6540, 7001, 7276, 7277, 7321, 7995, 8012, 8111, 8931, 8999, 9223, 9753, 9999
","10% - 4111, 4131
7% - 4121, 4784, 5169, 5172, 5541, 5542, 5983, 7512, 7523, 7542, 7549
3% - 3351, 3352, 3353, 3354, 3355, 3356, 3357, 3358, 3359, 3360, 3361, 3362, 3363, 3364, 3365, 3366, 3367, 3368, 3369, 3370, 3371, 3372, 3373, 3374, 3375, 3376, 3377, 3378, 3379, 3380, 3381, 3382, 3383, 3384, 3385, 3386, 3387, 3388, 3389, 3390, 3391, 3392, 3393, 3394, 3395, 3396, 3397, 3398, 3399, 3400, 3401, 3402, 3403, 3404, 3405, 3406, 3407, 3408, 3409, 3410, 3411, 3412, 3413, 3414, 3415, 3416, 3417, 3418, 3419, 3420, 3421, 3422, 3423, 3424, 3425, 3426, 3427, 3428, 3429, 3430, 3431, 3432, 3433, 3434, 3435, 3436, 3437, 3438, 3439, 3440, 3441 ",0,0,1,Нет,,* При покупке за бонусы кэшбэк не начисляется,Кредитная,Баллы=рубли
МИнБ - Карта пенсионера,"0,00%",5000,До сотых,,"5% - 5411, 5912",0,0,1,Да,,,Дебетовая,Рубли
Открытие - Opencard: 3% на все,"3,00%",15000,До сотых,"4784, 4812, 4813, 4814, 4816, 4829, 4900, 5999, 6012, 6050, 6051, 6211, 6529, 6530, 6531, 6532, 6533, 6534, 6536, 6537, 6538, 6540, 7276, 7299, 7399, 7995, 8999, 9222, 9311, 9754",,500,0,1,Нет,,"* Нужно поддерживать ежемесячный минимальный остаток 100 000 р
* Нужно дополнительно выполнять платежи от 1000 р в ИБ каждый месяц
* Нужно делать покупки от 5000 р/мес
* Плата 500 р за выпуск возвращается по достижении 10000 р покупок
* Баллами можно компенсировать покупку от 3000 р",Дебетовая,Рубли
Ренессанс кредит - дебетовая,"1,00%",7000,До сотых,"4784, 4812, 4813, 4814, 4829, 4900, 5094, 5933, 5960, 5968, 6010, 6011, 6012, 6050, 6051, 6211, 6300, 6529, 6530, 6532, 6533, 6534, 6536, 6537, 6538, 6540, 7276, 7311, 7399, 7511, 7800, 7801, 7802, 7994, 7995, 8999, 9222, 9223, 9311, 9399, 9754",,99,99,1,Нет,5000,,Дебетовая,Рубли
РоссельхозБанк - Карта хозяина: Телеком(10%)+АЗС(5%) ,"1,00%",5000,До целых,"5933, 5960, 5967, 6010, 6011, 6012, 6051, 6211, 6300, 6532, 6533, 6536, 6538, 6540, 7392, 7995, 8651, 8999, 9223, 9311
","5% - 5541, 5542, 5983
10% - 4814",99,150,100,Нет,10000,"* Максимальный кэшбэк в повышенных категориях - 2000 р/мес
* Банк не раскрывает, за какие MCC начисляется кэшбэк",Дебетовая,Рубли
Руснарбанк - Добрая,"0,50%",1000,До сотых,"4812, 4813, 4814, 4816, 4829, 4899, 4900, 5521, 5933, 5960, 6012, 6050, 6051, 6300, 6532, 6532, 6534, 6536, 6537, 6538, 6540, 7399, 7800, 7801, 7802, 7994, 7995, 8999, 9211, 9222, 9223, 9311, 9399, 9402","5% - 5122, 5292, 5295, 5300, 5411, 5422, 5441, 5451, 5462, 5499, 5912",450,59,1,Нет,,,Дебетовая,Рубли
